PlayerType,PlayerName,Dribbling,Pace,PlayerNation,Passing,PlayerClub,PlayerRating,PlayerPosition,Defense,Shooting,Physical
FOF,Eden Hazard,99,98,Belgium,99,Chelsea,99,LF,46,99,92
TOTS,Edinson Cavani,93,90,Uruguay,91,Paris Saint-Germain,96,ST,56,98,93
FOF,Zlatan Ibrahimović,94,84,Sweden,90,LA Galaxy,96,ST,38,96,94
FOF,Isco,99,85,Spain,96,Real Madrid CF,96,LW,67,95,82
TOTS,Toni Kroos,95,67,Germany,99,Real Madrid CF,96,CM,85,92,80
WORLDCUP,Cristiano Ronaldo,90,91,Portugal,86,UEFA,96,ST,32,94,81
TOTS,Ciro Immobile,91,92,Italy,82,Lazio,96,ST,52,98,88
TOTS,Dries Mertens,97,97,Belgium,93,Napoli,96,ST,46,96,80
WORLDCUP,Eden Hazard,99,97,Belgium,96,UEFA,96,CF,47,96,85
TOTS,Marco Reus,96,97,Germany,94,Borussia Dortmund,96,CAM,50,96,82
SBC-PREMIUM,Iniesta,98,90,Spain,98,FC Barcelona,96,CM,70,94,72
PTGS,Isco,99,88,Spain,97,Real Madrid CF,97,CM,70,97,85
FOF,Diego Godín,83,74,Uruguay,85,Atlético Madrid,96,CB,97,62,88
FOF,Romelu Lukaku,94,95,Belgium,93,Manchester United,96,ST,46,96,97
IF,Luis Suárez,93,87,Uruguay,89,FC Barcelona,96,ST,50,96,87
ICON,Diego Maradona,97,92,Argentina,92,Icons,97,CAM,40,93,76
TOTY,Sergio Ramos,89,86,Spain,88,Real Madrid CF,97,CB,98,79,96
EUMOTM,Cristiano Ronaldo,94,93,Portugal,89,Real Madrid CF,97,ST,37,97,86
TOTS,Sergio Agüero,98,96,Argentina,91,Manchester City,97,ST,36,97,90
TOTS,Luis Suárez,96,89,Uruguay,92,FC Barcelona,97,ST,55,98,91
POTM,Neymar,99,97,Brazil,97,Paris Saint-Germain,97,LW,43,98,82
TOTS,Robert Lewandowski,95,89,Poland,89,FC Bayern München,97,ST,50,97,93
WORLDCUP-ICON,Diego Maradona,97,92,Argentina,92,Icons,97,CAM,40,93,76
TOTS,Paulo Dybala,99,95,Argentina,96,Juventus,97,CAM,40,97,84
TOTS,Gonzalo Higuaín,95,90,Argentina,85,Juventus,97,ST,37,97,88
TOTS,Neymar,99,97,Brazil,97,Paris Saint-Germain,97,LW,43,98,82
FOF,Eden Hazard,98,96,Belgium,96,Chelsea,97,LF,39,95,85
FOF,Lionel Messi,99,95,Argentina,94,FC Barcelona,97,CF,36,96,76
FOF,Isco,99,88,Spain,97,Real Madrid CF,97,LM,70,97,85
FOF,Edinson Cavani,96,91,Uruguay,93,Paris Saint-Germain,97,ST,58,99,95
FOF,Alexis Sánchez,98,95,Chile,93,Manchester United,97,LM,50,97,92
FOF,Kylian Mbappé,99,99,France,98,Paris Saint-Germain,97,RM,70,98,96
IF,Lionel Messi,99,94,Argentina,96,FC Barcelona,97,ST,39,96,79
ICON,Pelé,96,95,Brazil,93,Icons,98,CAM,60,96,76
TOTS,Antoine Griezmann,98,95,France,94,Atlético Madrid,96,ST,45,96,83
TOTY,Lionel Messi,99,96,Argentina,98,FC Barcelona,98,RW,45,97,81
POTM,Mohamed Salah,99,99,Egypt,95,Liverpool,98,RW,65,98,92
TOTS,Mohamed Salah,99,99,Egypt,95,Liverpool,98,RW,65,98,92
TOTS,Lionel Messi,98,97,Argentina,97,FC Barcelona,98,ST,43,97,82
WORLDCUP-ICON,Pelé,96,95,Brazil,93,Icons,98,CAM,60,96,76
FOF,Cristiano Ronaldo,96,95,Portugal,91,Real Madrid CF,98,ST,41,98,91
FOF,Luis Suárez,97,91,Uruguay,94,FC Barcelona,98,ST,58,99,93
ICON,Diego Maradona,95,88,Argentina,90,Icons,95,CAM,42,91,75
ICON,Pelé,95,96,Brazil,90,Icons,95,CF,56,93,75
OTW,Neymar,98,95,Brazil,85,Paris Saint-Germain,95,LW,33,90,68
TOTGS,Cristiano Ronaldo,92,91,Portugal,84,Real Madrid CF,95,ST,34,95,82
IF,Lionel Messi,98,92,Argentina,90,FC Barcelona,95,ST,29,93,65
TOTY,N'Golo Kanté,93,90,France,93,Chelsea,95,CM,93,87,94
IF,Neymar,98,95,Brazil,85,Paris Saint-Germain,95,LW,33,90,68
IF,Luis Suárez,91,85,Uruguay,86,FC Barcelona,95,ST,48,95,85
FUT-BIRTHDAY,Cristiano Ronaldo,91,91,Portugal,85,Real Madrid CF,95,RW,34,94,83
MOTM,Eden Hazard,97,94,Belgium,93,Chelsea,95,LW,37,92,77
TOTS,Harry Kane,92,84,England,90,Tottenham Hotspur,95,ST,53,98,93
TOTS,David Silva,97,83,Spain,99,Manchester City,95,CM,60,90,75
TOTS,Christian Eriksen,94,85,Denmark,97,Tottenham Hotspur,95,CAM,62,94,75
TOTS,Sergio Ramos,85,83,Spain,85,Real Madrid CF,95,CB,96,75,94
TOTS,Joshua Kimmich,95,85,Germany,98,FC Bayern München,95,RB,94,84,90
TOTS,Thomas Müller,93,88,Germany,98,FC Bayern München,95,CF,58,96,86
TOTS,Timo Werner,97,98,Germany,89,RB Leipzig,95,ST,40,95,81
WORLDCUP,Luka Modrić,98,88,Croatia,99,UEFA,95,CM,87,92,83
TOTS,Lorenzo Insigne,97,96,Italy,93,Napoli,95,LW,35,90,70
TOTS,Sergej Milinković-Savić,94,84,Serbia,93,Lazio,95,CM,92,94,94
FOF,Isco,98,82,Spain,95,Real Madrid CF,95,LW,64,94,78
FOF,Romelu Lukaku,92,93,Belgium,91,Manchester United,95,ST,44,95,96
TOTS,Mauro Icardi,91,90,Argentina,78,Inter,95,ST,40,97,85
WORLDCUP,Antoine Griezmann,98,93,France,94,UEFA,95,CF,55,95,85
TOTS,Mats Hummels,84,75,Germany,90,FC Bayern München,95,CB,97,71,93
WORLDCUP,Lionel Messi,97,90,Argentina,89,CONMEBOL,95,RW,28,92,64
FOF,Carlos Tévez,95,94,Argentina,88,Boca Juniors,95,ST,60,96,94
IF,Luis Suárez,90,84,Uruguay,83,FC Barcelona,94,ST,45,94,84
TOTY,Marcelo,95,90,Brazil,94,Real Madrid CF,94,LB,92,79,91
IF,Eden Hazard,96,93,Belgium,91,Chelsea,94,LW,35,90,75
FOF,James Rodríguez,96,87,Colombia,98,FC Bayern München,95,LM,52,96,86
POTM,Sergio Agüero,95,92,Argentina,86,Manchester City,94,ST,31,95,83
FOF,Thiago Silva,87,82,Brazil,88,Paris Saint-Germain,95,CB,97,73,90
FOF,Kylian Mbappé,98,99,France,94,Paris Saint-Germain,95,RM,65,96,90
PTGS,Olivier Giroud,94,75,France,93,Chelsea,94,ST,52,97,96
TOTS,Giorgio Chiellini,75,80,Italy,80,Juventus,94,CB,95,60,91
TOTS,Romelu Lukaku,90,92,Belgium,89,Manchester United,94,ST,43,94,95
SBC,Kevin De Bruyne,93,80,Belgium,94,Manchester City,94,CAM,52,91,81
TOTS,Casemiro,88,72,Brazil,90,Real Madrid CF,94,CDM,95,82,94
TOTS,Parejo,92,70,Spain,97,Valencia CF,94,CM,88,91,87
TOTS,Isco,97,79,Spain,93,Real Madrid CF,94,CAM,62,93,75
TOTS,Diego Godín,80,72,Uruguay,82,Atlético Madrid,94,CB,96,60,86
WORLDCUP,Kylian Mbappé,97,98,France,91,UEFA,94,ST,60,95,89
TOTS,Michy Batshuayi,93,91,Belgium,87,Borussia Dortmund,94,ST,45,96,93
TOTS,Nils Petersen,90,82,Germany,79,Sport-Club Freiburg,94,ST,50,95,87
TOTS,James Rodríguez,94,85,Colombia,97,FC Bayern München,94,CAM,50,94,83
WORLDCUP,Kevin De Bruyne,95,85,Belgium,97,UEFA,94,CM,62,95,88
TOTS,Kamil Glik,85,72,Poland,68,AS Monaco Football Club SA,94,CB,95,43,92
TOTS,Medhi Benatia,82,84,Morocco,78,Juventus,94,CB,95,60,92
WORLDCUP-ICON,Ronaldo,93,93,Brazil,80,Icons,94,ST,46,93,80
WORLDCUP,Neymar,96,94,Brazil,87,CONMEBOL,94,LW,32,88,68
TOTS,Marco Verratti,97,76,Italy,97,Paris Saint-Germain,94,CM,88,75,78
TOTS,Alex Telles,92,95,Brazil,98,FC Porto,94,LB,92,82,88
IF,Neymar,97,94,Brazil,83,Paris Saint-Germain,94,LW,32,88,66
TOTS,Kalidou Koulibaly,75,83,Senegal,70,Napoli,94,CB,95,50,94
TOTS,Thiago Silva,85,80,Brazil,84,Paris Saint-Germain,94,CB,96,70,88
TOTS,Florian Thauvin,95,93,France,94,Olympique de Marseille,94,RM,50,95,80
TOTS,Nabil Fekir,96,90,France,93,Olympique Lyonnais,94,CAM,47,95,90
TOTS,Quincy Promes,96,97,Netherlands,92,Spartak Moscow,94,LM,42,95,84
TOTS,Roberto Firmino,95,90,Brazil,93,Liverpool,93,ST,58,92,89
TOTS,Nicolás Otamendi,68,71,Argentina,77,Manchester City,93,CB,95,76,91
TOTS,Leroy Sané,97,98,Germany,93,Manchester City,93,LW,46,91,87
TOTS,Fernandinho,86,83,Brazil,91,Manchester City,93,CDM,93,84,91
TOTS,Marek Hamšík,92,80,Slovakia,93,Napoli,93,CM,78,89,80
TOTS,Jordi Alba,91,97,Spain,90,FC Barcelona,93,LB,92,82,83
TOTS,Iago Aspas,95,90,Spain,92,RC Celta de Vigo,93,RW,41,96,80
POTM,Kylian Mbappé,96,97,France,90,Paris Saint-Germain,93,RW,60,92,86
TOTS,Jonas,95,80,Brazil,91,SL Benfica,94,ST,46,97,80
TOTS,Raheem Sterling,96,98,England,88,Manchester City,93,RW,55,94,80
